Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Sport Code,Sport Name,# Participants Men's Team,# Participants Women's Team,# Participants Men Coed Team,# Participants Women Coed Team,Total # Participants Men's Team/Men Coed Team,Total # Participants Women's Team/Women Coed Team,Operating Expenses per Participant/Men's Team,Operating Expenses per Team/Men's Team,Operating Expenses per Participant/Women's Team,Operating Expenses per Team/Women's Team,Total Operating Expenses Men's Team and Women's Team,Operating Expenses per Participant/Men Coed Team,Operating Expenses per Team/Men Coed Team,Operating Expenses per Participant/Women Coed Team,Operating Expenses per Team/Women Coed Team,Total Operating Expenses Men Coed Team/Women Coed Team,Revenues Men's Team,Revenues Women's Team,Total Revenues For Men's Team and Women's Team,Revenues Men Coed Team,Revenues Women Coed Team,Total Revenues Men Coed Team/Women Coed Team,Total Revenues Men's Team and Men Coed Team,Total Revenues Women's Team and Women Coed Team,Total Revenues Men's Team/Women's Team and Coed Team,Expenses Men's Team,Expenses Women's Team,Total Expenses Men's Team and Women's Team,Expenses Men Coed Team,Expenses Women Coed Team,Total Expenses Men Coed Team and Women Coed Team,Total Expenses Men's Team and Men Coed Team,Total Expenses Women's Team and  Women Coed Team,Total Expenses Men's Team/Women's Team and Coed Team
2018,122409,San Diego State University,CA,1,,1,NCAA,12196,14938,27134,7,Football,113,,,,113,0,71885,8123021,0,0,8123021,,,,,,13422004,,13422004,,,,13422004,0,13422004,16070045,,16070045,,,,16070045,0,16070045
2018,122755,San Jose State University,CA,1,,1,NCAA,11556,11468,23024,7,Football,108,,,,108,0,12592,1359955,0,0,1359955,,,,,,8512268,,8512268,,,,8512268,0,8512268,8512268,,8512268,,,,8512268,0,8512268
2018,228246,Southern Methodist University,TX,1,,1,NCAA,3206,3067,6273,7,Football,122,,,,122,0,28532,3480874,0,0,3480874,,,,,,20519325,,20519325,,,,20519325,0,20519325,20519325,,20519325,,,,20519325,0,20519325
2018,243744,Stanford University,CA,1,,1,NCAA,3535,3548,7083,7,Football,102,,,,102,0,41884,4272181,0,0,4272181,,,,,,44462092,,44462092,,,,44462092,0,44462092,30470121,,30470121,,,,30470121,0,30470121
2018,196413,Syracuse University,NY,1,,1,NCAA,6589,7747,14336,7,Football,125,,,,125,0,29455,3681914,0,0,3681914,,,,,,43813014,,43813014,,,,43813014,0,43813014,28000705,,28000705,,,,28000705,0,28000705
2018,216339,Temple University,PA,1,,1,NCAA,12298,14376,26674,7,Football,121,,,,121,0,38488,4657104,0,0,4657104,,,,,,24397873,,24397873,,,,24397873,0,24397873,24397873,,24397873,,,,24397873,0,24397873
2018,228723,Texas A & M University-College Station,TX,1,,1,NCAA,24703,22550,47253,7,Football,125,,,,125,0,48958,6119780,0,0,6119780,,,,,,73517543,,73517543,,,,73517543,0,73517543,42803201,,42803201,,,,42803201,0,42803201
2018,228875,Texas Christian University,TX,1,,1,NCAA,3746,5403,9149,7,Football,135,,,,135,0,53806,7263838,0,0,7263838,,,,,,65384773,,65384773,,,,65384773,0,65384773,40861131,,40861131,,,,40861131,0,40861131
2018,228459,Texas State University,TX,1,,1,NCAA,11625,16417,28042,7,Football,120,,,,120,0,19947,2393689,0,0,2393689,,,,,,9706628,,9706628,,,,9706628,0,9706628,9706628,,9706628,,,,9706628,0,9706628
2018,229115,Texas Tech University,TX,1,,1,NCAA,14631,12962,27593,7,Football,123,,,,123,0,35434,4358359,0,0,4358359,,,,,,51075082,,51075082,,,,51075082,0,51075082,20765181,,20765181,,,,20765181,0,20765181
