,Zillow,Econ
140,"Queens County, NY","Queens County, NY"
141,"Kings County, NY","Kings County, NY"
142,"Albany County, NY","Albany County, NY"
143,"Schenectady County, NY","Schenectady County, NY"
144,"Montgomery County, NY","Montgomery County, NY"
145,"Greene County, NY","Greene County, NY"
146,"Columbia County, NY","Columbia County, NY"
147,"Rensselaer County, NY","Rensselaer County, NY"
148,"Saratoga County, NY","Saratoga County, NY"
149,"Fulton County, NY","Fulton County, NY"
150,"Washington County, NY","Washington County, NY"
151,"Schoharie County, NY","Schoharie County, NY"
152,"Otsego County, NY","Otsego County, NY"
153,"Hamilton County, NY","Hamilton County, NY"
154,"Delaware County, NY","Delaware County, NY"
155,"Ulster County, NY","Ulster County, NY"
156,"Dutchess County, NY","Dutchess County, NY"
157,"Sullivan County, NY","Sullivan County, NY"
158,"Warren County, NY","Warren County, NY"
159,"Essex County, NY","Essex County, NY"
160,"Clinton County, NY","Clinton County, NY"
161,"Franklin County, NY","Franklin County, NY"
162,"Saint Lawrence County, NY","St. Lawrence County, NY"
163,"Onondaga County, NY","Onondaga County, NY"
164,"Cayuga County, NY","Cayuga County, NY"
165,"Oswego County, NY","Oswego County, NY"
166,"Madison County, NY","Madison County, NY"
167,"Cortland County, NY","Cortland County, NY"
168,"Oneida County, NY","Oneida County, NY"
169,"Tompkins County, NY","Tompkins County, NY"
170,"Seneca County, NY","Seneca County, NY"
171,"Chenango County, NY","Chenango County, NY"
172,"Wayne County, NY","Wayne County, NY"
173,"Buchanan County, IA","Buchanan County, IA"
174,"Lewis County, NY","Lewis County, NY"
175,"Herkimer County, NY","Herkimer County, NY"
176,"Jefferson County, NY","Jefferson County, NY"
177,"Orleans Parish, LA","Orleans Parish, LA"
178,"Matanuska Susitna Borough, AK","Matanuska-Susitna Borough, AK"
179,"Tioga County, NY","Tioga County, NY"
180,"Broome County, NY","Broome County, NY"
181,"Erie County, NY","Erie County, NY"
182,"Genesee County, NY","Genesee County, NY"
183,"Niagara County, NY","Niagara County, NY"
184,"Wyoming County, NY","Wyoming County, NY"
185,"Cattaraugus County, NY","Cattaraugus County, NY"
186,"Chautauqua County, NY","Chautauqua County, NY"
187,"Allegany County, NY","Allegany County, NY"
188,"Orleans County, NY","Orleans County, NY"
189,"Crosby County, TX","Crosby County, TX"
190,"Livingston County, NY","Livingston County, NY"
191,"Yates County, NY","Yates County, NY"
192,"Steuben County, NY","Steuben County, NY"
193,"Monroe County, NY","Monroe County, NY"
194,"Ontario County, NY","Ontario County, NY"
195,"Payne County, OK","Payne County, OK"
196,"Schuyler County, NY","Schuyler County, NY"
197,"Chemung County, NY","Chemung County, NY"
198,"Beaver County, PA","Beaver County, PA"
199,"Allegheny County, PA","Allegheny County, PA"
200,"Washington County, PA","Washington County, PA"
201,"Greene County, PA","Greene County, PA"
202,"Fayette County, PA","Fayette County, PA"
203,"Somerset County, PA","Somerset County, PA"
204,"Bedford County, PA","Bedford County, PA"
205,"Fulton County, PA","Fulton County, PA"
206,"Armstrong County, PA","Armstrong County, PA"
207,"Indiana County, PA","Indiana County, PA"
208,"Jefferson County, PA","Jefferson County, PA"
209,"Cambria County, PA","Cambria County, PA"
210,"Clearfield County, PA","Clearfield County, PA"
211,"Elk County, PA","Elk County, PA"
212,"Cameron County, PA","Cameron County, PA"
213,"Butler County, PA","Butler County, PA"
214,"Clarion County, PA","Clarion County, PA"
215,"Lawrence County, PA","Lawrence County, PA"
216,"Crawford County, PA","Crawford County, PA"
217,"Mercer County, PA","Mercer County, PA"
218,"Forest County, PA","Forest County, PA"
219,"Venango County, PA","Venango County, PA"
220,"Warren County, PA","Warren County, PA"
221,"McKean County, PA","McKean County, PA"
222,"Erie County, PA","Erie County, PA"
223,"Blair County, PA","Blair County, PA"
224,"Huntingdon County, PA","Huntingdon County, PA"
225,"Centre County, PA","Centre County, PA"
226,"Potter County, PA","Potter County, PA"
227,"Clinton County, PA","Clinton County, PA"
228,"Tioga County, PA","Tioga County, PA"
229,"Bradford County, PA","Bradford County, PA"
230,"Lackawanna County, PA","Lackawanna County, PA"
231,"Mifflin County, PA","Mifflin County, PA"
232,"Lebanon County, PA","Lebanon County, PA"
233,"Dauphin County, PA","Dauphin County, PA"
234,"Perry County, PA","Perry County, PA"
235,"Cumberland County, PA","Cumberland County, PA"
236,"Juniata County, PA","Juniata County, PA"
237,"Northumberland County, PA","Northumberland County, PA"
238,"York County, PA","York County, PA"
239,"Lancaster County, PA","Lancaster County, PA"
240,"Franklin County, PA","Franklin County, PA"
241,"Adams County, PA","Adams County, PA"
242,"Lycoming County, PA","Lycoming County, PA"
243,"Sullivan County, PA","Sullivan County, PA"
244,"Snyder County, PA","Snyder County, PA"
245,"Columbia County, PA","Columbia County, PA"
246,"Montour County, PA","Montour County, PA"
247,"Union County, PA","Union County, PA"
248,"Schuylkill County, PA","Schuylkill County, PA"
249,"Lehigh County, PA","Lehigh County, PA"
250,"Carbon County, PA","Carbon County, PA"
251,"Northampton County, PA","Northampton County, PA"
252,"Bucks County, PA","Bucks County, PA"
